Prefix Trie Stemming:
quickie = qui+ckie
notice = no+tice
reconsideration = re+consideration
details = de+tails
privilege = p+rivilege
word = w+ord
amendment = a+mendment
pay = pa+y
raises = ra+ises
sessions = s+essions
legislator = le+gislator
aid = a+id
education = e+ducation
past = pa+st
support = s+upport
members = m+embers
delegation = de+legation
congressmen = co+ngressmen
hopper = ho+pper
event = e+vent
teacher = t+eacher
controversy = co+ntroversy
school = s+chool
superintendent = s+uperintendent
policeman = po+liceman
agriculture = a+griculture
principal = p+rincipal
votes = vo+tes
pistol = pi+stol
polls = po+lls
order = o+rder
church = c+hurch
drop = d+rop
liquor = li+quor
bit = b+it
trouble = t+rouble
midnight = m+idnight
phone = p+hone
calls = ca+lls
threats = t+hreats
violence = vi+olence
death = de+ath
days = da+ys
post = po+st
dispute = dis+pute
board = b+oard
telephone = t+elephone
permit = p+ermit
gun = g+un
ordinary = o+rdinary
promise = p+romise
sheriff = s+heriff
approval = a+pproval
protests = p+rotests
bankers = b+ankers
fight = f+ight
measure = m+easure
rejection = re+jection
hearing = he+aring
rules = ru+les
subcommittee = s+ubcommittee
week = w+eek
questions = que+stions
witnesses = wi+tnesses
doubt = do+ubt
passage = pa+ssage
estimate = e+stimate
dollars = do+llars
deficit = de+ficit
means = m+eans
escheat = e+scheat
books = b+ooks
republic = re+public
bank = b+ank
accounts = a+ccounts
stocks = s+tocks
persons = p+ersons
bill = b+ill
banks = b+anks
insurance = in+surance
firms = f+irms
pipeline = pi+peline
companies = co+mpanies
corporations = co+rporations
treasurer = t+reasurer
lawyer = la+wyer
opposition = o+pposition
keynote = k+eynote
obligations = o+bligations
depositors = de+positors
confidence = co+nfidence
customers = c+ustomers
economy = e+conomy
circulation = c+irculation
millions = m+illions
sponsor = s+ponsor
gift = g+ift
pockets = po+ckets
contention = co+ntention
senators = s+enators
schools = s+chools
schooling = s+chooling
students = s+tudents
debate = de+bate
population = po+pulation
children = c+hildren
budget = b+udget
$451,500 = $+451,500
savings = sa+vings
$157,460 = $1+57,460
capital = ca+pital
outlay = o+utlay
$88,000 = $+88,000
tea = t+ea
scholastics = s+cholastics
horse = ho+rse
parimutuels = pa+rimutuels
folks = f+olks
letters = le+tters
betting = b+etting
people = p+eople
question = que+stion
advocacy = a+dvocacy
ponies = po+nies
option = o+ption
proposal = p+roposal
report = re+port
sledding = s+ledding
house = ho+use
authority = a+uthority
cities = c+ities
senate = s+enate
fare = f+are
bills = b+ills
committees = co+mmittees
calendar = ca+lendar
acts = a+cts
districts = dis+tricts
creation = c+reation
dissent = dis+sent
district = dis+trict
meantime = m+eantime
gifts = g+ifts
donations = do+nations
site = s+ite
revision = re+vision
retailers = re+tailers
group = g+roup
excise = e+xcise
taxes = ta+xes
requirement = re+quirement
return = re+turn
certificate = c+ertificate
correctness = co+rrectness
violation = vi+olation
penalty = p+enalty
$1,000 = $1+,000
fine = f+ine
series = s+eries
estate = e+state
brokers = b+rokers
fee = f+ee
$12 = $1+2
license = li+cense
gas = ga+s
utility = u+tility
right = r+ight
domain = do+main
sites = s+ites
storage = s+torage
reservoirs = re+servoirs
vacancies = va+cancies
need = ne+ed
elections = e+lections
appointee = a+ppointee
lieutenant = li+eutenant
general = g+eneral
justice = ju+stice
representatives = re+presentatives
poll = po+ll
kind = k+ind
referendum = re+ferendum
senator = s+enator
idea = i+dea
delay = de+lay
majorities = ma+jorities
opponents = o+pponents
information = in+formation
proposals = p+roposals
choice = c+hoice
water = wa+ter
needs = ne+eds
development = de+velopment
effort = e+ffort
places = p+laces
hamlet = ha+mlet
shouting = s+houting
$5,000,000 = $+5,000,000
$15,000,000 = $1+5,000,000
loan = lo+an
project = p+roject
statements = s+tatements
attack = a+ttack
defenders = de+fenders
peanut = p+eanut
methods = m+ethods
history = hi+story
semester = s+emester
hours = ho+urs
college = co+llege
high = hi+gh
teachers = t+eachers
subject = s+ubject
remainder = re+mainder
subjects = s+ubjects
person = p+erson
degree = de+gree
physics = p+hysics
chemistry = c+hemistry
math = ma+th
regents = re+gents
president = p+resident
close = c+lose
addition = a+ddition
captain = ca+ptain
basketball = b+asketball
team = t+eam
football = f+ootball
letterman = le+tterman
instructor = in+structor
professor = p+rofessor
border = b+order
patrolman = pa+trolman
principals = p+rincipals
recommendation = re+commendation
discrimination = dis+crimination
employment = e+mployment
ribbon = r+ibbon
adc = a+dc
firm = f+irm
range = ra+nge
case = ca+se
load = lo+ad
causes = ca+uses
family = f+amily
breakdown = b+reakdown
desertion = de+sertion
dependency = de+pendency
recipients = re+cipients
problems = p+roblems
subsistence = s+ubsistence
volume = vo+lume
cases = ca+ses
community = co+mmunity
skills = s+kills
color = co+lor
breakups = b+reakups
extension = e+xtension
relatives = re+latives
parents = pa+rents
unity = un+ity
projects = p+rojects
prevention = p+revention
illegitimacy = i+llegitimacy
defendants = de+fendants
police = po+lice
burglary = b+urglary
trial = tri+al
guilt = g+uilt
arrest = a+rrest
disclosure = dis+closure
defense = de+fense
counsel = co+unsel
observers = o+bservers
prelude = p+relude
quarrel = qua+rrel
policemen = po+licemen
client = c+lient
request = re+quest
courtroom = co+urtroom
others = o+thers
bench = b+ench
honor = ho+nor
conflict = co+nflict
business = b+usiness
attention = a+ttention
crisis = c+risis
address = a+ddress
television = t+elevision
radio = ra+dio
summer = s+ummer
home = ho+me
drafts = d+rafts
portions = po+rtions
help = he+lp
aids = a+ids
midmorning = m+idmorning
spokesman = s+pokesman
text = t+ext
way = wa+y
completion = co+mpletion
press = p+ress
secretary = s+ecretary
advisers = a+dvisers
staff = s+taff
composition = co+mposition
minute = m+inute
decisions = de+cisions
demands = de+mands
prosecution = p+rosecution
matter = ma+tter
significance = s+ignificance
innocence = in+nocence
rights = r+ights
ruling = ru+ling
contempt = co+ntempt
proceedings = p+roceedings
prosecutor = p+rosecutor
hearings = he+arings
subpenas = s+ubpenas
individuals = in+dividuals
building = b+uilding
judges = ju+dges
precinct = p+recinct
ward = wa+rd
procedure = p+rocedure
intimidation = in+timidation
coercion = co+ercion
room = ro+om
misuse = m+isuse
processes = p+rocesses
abuse = a+buse
process = p+rocess
vindication = vi+ndication
function = f+unction
judge = ju+dge
miscount = m+iscount
advisement = a+dvisement
statement = s+tatement
care = ca+re
security = s+ecurity
workers = w+orkers
hospital = ho+spital
railroad = ra+ilroad
retirement = re+tirement
programs = p+rograms
message = m+essage
requests = re+quests
grants = gra+nts
scholarships = s+cholarships
health = he+alth
payroll = pa+yroll
$37 = $+37
worker = w+orker
employer = e+mployer
$4,800 = $+4,800
base = b+ase
$5,000 = $+5,000
boosts = b+oosts
levy = le+vy
boost = b+oost
benefits = b+enefits
figures = f+igures
parts = pa+rts
systems = s+ystems
payment = pa+yment
stays = s+tays
illness = i+llness
patient = pa+tient
discharge = dis+charge
formula = f+ormula
part = pa+rt
credit = c+redit
outpatient = o+utpatient
clinic = c+linic
diagnostic = di+agnostic
service = s+ervice
excess = e+xcess
$20 = $2+0
nurse = nu+rse
states = s+tates
wish = wi+sh
drain = d+rain
stay = s+tay
requirements = re+quirements
malingering = ma+lingering
overcrowding = o+vercrowding
hospitals = ho+spitals
medicine = m+edicine
prepayment = p+repayment
freedom = f+reedom
student = s+tudent
dentistry = de+ntistry
scholarship = s+cholarship
contributions = co+ntributions
$1,500 = $1+,500
$2,000 = $2+,000
government = g+overnment
grant = gra+nt
capacity = ca+pacity
area = a+rea
dollar = do+llar
appropriation = a+ppropriation
sum = s+um
field = f+ield
bureau = b+ureau
institute = in+stitute
rehabilitation = re+habilitation
facilities = f+acilities
elements = e+lements
knowledge = k+nowledge
reaction = re+action
lines = li+nes
thing = t+hing
prediction = p+rediction
fate = f+ate
pressure = p+ressure
chief = c+hief
floor = f+loor
record = re+cord
ayes = a+yes
noes = no+es
leader = le+ader
administrator = a+dministrator
finance = f+inance
agency = a+gency
appointments = a+ppointments
cabinet = ca+binet
rank = ra+nk
rule = ru+le
hour = ho+ur
demand = de+mand
connection = co+nnection
selections = s+elections
element = e+lement
discussions = dis+cussions
understanding = un+derstanding
meetings = m+eetings
organization = o+rganization
nature = na+ture
route = ro+ute
step = s+tep
changes = c+hanges
ministers = m+inisters
climate = c+limate
candor = ca+ndor
attempt = a+ttempt
atmosphere = a+tmosphere
colonialist = co+lonialist
powers = po+wers
nightmare = n+ightmare
clash = c+lash
difficulties = di+fficulties
tragedies = tra+gedies
allies = a+llies
circumstances = c+ircumstances
troubles = t+roubles
absence = a+bsence
weeks = w+eeks
nato = na+to
critics = c+ritics
policy = po+licy
relaxation = re+laxation
tension = t+ension
explanation = e+xplanation
positions = po+sitions
explosion = e+xplosion
surprises = s+urprises
advance = a+dvance
cars = ca+rs
track = tra+ck
locomotive = lo+comotive
manifestations = ma+nifestations
arms = a+rms
heart = he+art
alliance = a+lliance
line = li+ne
side = s+ide
balance = b+alance
sheet = s+heet
disappointment = dis+appointment
leadership = le+adership
diplomat = di+plomat
tenor = t+enor
speeches = s+peeches
analysis = a+nalysis
danger = da+nger
points = po+ints
setbacks = s+etbacks
vagueness = va+gueness
appreciation = a+ppreciation
affair = a+ffair
correspondents = co+rrespondents
impression = i+mpression
popularity = po+pularity
frame = f+rame
mind = m+ind
scale = s+cale
application = a+pplication
spots = s+pots
speech = s+peech
march = ma+rch
events = e+vents
months = m+onths
core = co+re
attachment = a+ttachment
cornerstone = co+rnerstone
submarines = s+ubmarines
nato's = na+to's
disposal = dis+posal
waters = wa+ters
warning = wa+rning
setback = s+etback
affirmation = a+ffirmation
whole = w+hole
achievement = a+chievement
rekindling = re+kindling
realization = re+alization
friction = f+riction
globe = g+lobe
essence = e+ssence
societies = s+ocieties
regard = re+gard
distance = dis+tance
lack = la+ck
spring = s+pring
impetus = i+mpetus
main = ma+in
directions = di+rections
consultation = co+nsultation
use = u+se
method = m+ethod
countries = co+untries
forces = f+orces
maintenance = ma+intenance
deterrent = de+terrent
threshold = t+hreshold
strengthening = s+trengthening
ally = a+lly
conference = co+nference
optimism = o+ptimism
table = ta+ble
ground = g+round
inspection = in+spection
attacks = a+ttacks
possibility = po+ssibility
inclination = in+clination
verification = ver+ification
control = co+ntrol
commission = co+mmission
modifications = m+odifications
chain = c+hain
errors = e+rrors
spokesmen = s+pokesmen
reforms = re+forms
confrontations = co+nfrontations
gain = ga+in
world = w+orld
aggression = a+ggression
tendency = t+endency
situation = s+ituation
power = po+wer
blunders = b+lunders
correspondent = co+rrespondent
score = s+core
reply = re+ply
country = co+untry
politics = po+litics
wisdom = wi+sdom
outcome = o+utcome
coalition = co+alition
domination = do+mination
direction = di+rection
educators = e+ducators
invasion = in+vasion
exile = e+xile
groups = g+roups
regime = re+gime
bloc = b+loc
detente = de+tente
resumption = re+sumption
trade = tra+de
efforts = e+fforts
conditions = co+nditions
nationalism = na+tionalism
intervention = in+tervention
provocation = p+rovocation
fiasco = f+iasco
victories = vi+ctories
observer = o+bserver
opinions = o+pinions
professors = p+rofessors
channels = c+hannels
period = p+eriod
pin = pi+n
ban = b+an
negotiations = ne+gotiations
response = re+sponse
emphasis = e+mphasis
reform = re+form
recipient = re+cipient
nations = na+tions
determination = de+termination
fleet = f+leet
gesture = g+esture
rate = ra+te
territory = t+erritory
seato = s+eato
contingency = co+ntingency
losses = lo+sses
war = wa+r
complication = co+mplication
neighbors = ne+ighbors
favor = f+avor
revolt = re+volt
neutralist = ne+utralist
spirit = s+pirit
energy = e+nergy
hilt = hi+lt
ideas = i+deas
alternative = a+lternative
factor = f+actor
removal = re+moval
growth = g+rowth
delinquency = de+linquency
vitality = vi+tality
nation = na+tion
assertion = a+ssertion
executive = e+xecutive
cooperation = co+operation
enactment = e+nactment
crime = c+rime
trend = t+rend
communities = co+mmunities
sense = s+ense
urgency = u+rgency
arrests = a+rrests
offenders = o+ffenders
larceny = la+rceny
setup = s+etup
head = he+ad
responsibility = re+sponsibility
salary = sa+lary
opinion = o+pinion
$3,500 = $+3,500
amount = a+mount
basis = b+asis
residents = re+sidents
job = jo+b
men = m+en
headquarters = he+adquarters
advantage = a+dvantage
equipment = e+quipment
procurement = p+rocurement
radios = ra+dios
sirens = s+irens
rescue = re+scue
trucks = t+rucks
vehicle = ve+hicle
section = s+ection
status = s+tatus
enemy = e+nemy
grounds = g+rounds
assembly = a+ssembly
point = po+int
theater = t+heater
air = a+ir
public = p+ublic
intervals = in+tervals
things = t+hings
classes = c+lasses
level = le+vel
revisions = re+visions
move = m+ove
form = f+orm
letter = le+tter
clerk = c+lerk
copy = co+py
eye = e+ye
legislature = le+gislature
review = re+view
benefit = b+enefit
views = vi+ews
labor = la+bor
enforcement = e+nforcement
officers = o+fficers
activity = a+ctivity
statutes = s+tatutes
instances = in+stances
times = t+imes
types = t+ypes
merchandise = m+erchandise
concern = co+ncern
foods = f+oods
list = li+st
neighborhood = ne+ighborhood
grocery = g+rocery
variety = va+riety
stores = s+tores
chance = c+hance
supermarkets = s+upermarkets
shops = s+hops
livelihood = li+velihood
thousands = t+housands
licenses = li+censes
revenue = re+venue
local = lo+cal
factory = f+actory
outlets = o+utlets
essential = e+ssential
liberals = li+berals
conservatives = co+nservatives
parties = pa+rties
expert = e+xpert
luncheon = lu+ncheon
type = t+ype
enterprise = e+nterprise
regrouping = re+grouping
voter = vo+ter
pull = p+ull
lever = le+ver
member = m+ember
machinist = ma+chinist
toolmaker = to+olmaker
fellow = f+ellow
utilities = u+tilities
resources = re+sources
victory = vi+ctory
vice = vi+ce
product = p+roduct
wage = wa+ge
increases = in+creases
manufacturers = ma+nufacturers
profit = p+rofit
squeeze = s+queeze
back = b+ack
philosophy = p+hilosophy
counseling = co+unseling
town = to+wn
charter = c+harter
hand = ha+nd
suggestion = s+uggestion
canvassers = ca+nvassers
scheduling = s+cheduling
difference = di+fference
solicitor = s+olicitor
justices = ju+stices
strategy = s+trategy
movement = m+ovement
posts = po+sts
goal = g+oal
awareness = a+wareness
timetable = t+imetable
league = le+ague
meaning = m+eaning
pretenses = p+retenses
signers = s+igners
consent = co+nsent
provision = p+rovision
sewer = s+ewer
ordinance = o+rdinance
motorists = m+otorists
minor = m+inor
traffic = tra+ffic
offenses = o+ffenses
fines = f+ines
station = s+tation
disposition = dis+position
offense = o+ffense
value = va+lue
remark = re+mark
carcass = ca+rcass
cocktail = co+cktail
chorus = c+horus
boos = b+oos
women = w+omen
forum = f+orum
intention = in+tention
lifeblood = li+feblood
remains = re+mains
fall = f+all
decency = de+cency
adminstration = a+dminstration
closeness = c+loseness
issues = i+ssues
applause = a+pplause
merit = m+erit
continuance = co+ntinuance
passenger = pa+ssenger
uses = u+ses
surplus = s+urplus
industry = in+dustry
unemployment = un+employment
blame = b+lame
plant = p+lant
income = in+come
minutes = m+inutes
barbs = b+arbs
centralization = c+entralization
transportation = tra+nsportation
crises = c+rises
ways = wa+ys
motor = m+otor
vehicles = ve+hicles
reference = re+ference
insult = in+sult
symbol = s+ymbol
intentions = in+tentions
position = po+sition
life = li+fe
judgment = ju+dgment
taste = ta+ste
origin = o+rigin
desire = de+sire
name = na+me
stature = s+tature
discredit = dis+credit
nomination = no+mination
leaders = le+aders
managers = ma+nagers
gathering = ga+thering
nominee = no+minee
majority = ma+jority
announcement = a+nnouncement
giveaway = g+iveaway
image = i+mage
glow = g+low
candidacy = ca+ndidacy
committeewoman = co+mmitteewoman
paper = pa+per
ballots = b+allots
democracy = de+mocracy
lip = li+p
purchase = p+urchase
machines = ma+chines
results = re+sults
safety = sa+fety
commissioner = co+mmissioner
fbi = f+bi
vacancy = va+cancy
experience = e+xperience
description = de+scription
warden = wa+rden
citation = c+itation
supervision = s+upervision
reduction = re+duction
forest = f+orest
fires = f+ires
division = di+vision
graduation = gra+duation
forestry = f+orestry
lumber = lu+mber
techniques = t+echniques
tractor = tra+ctor
plows = p+lows
units = un+its
wardens = wa+rdens
training = tra+ining
debut = de+but
bid = b+id
pledge = p+ledge
corner = co+rner
feet = f+eet
slogans = s+logans
mouth = m+outh
truth = t+ruth
signs = s+igns
partner = pa+rtner
attraction = a+ttraction
stop = s+top
piracy = pi+racy
bloodstream = b+loodstream
hoodlums = ho+odlums
1940s = 1+940s
good = g+ood
springboard = s+pringboard
tracts = tra+cts
land = la+nd
onrush = o+nrush
$60 = $+60
$45 = $+45
$15 = $1+5
municipalities = m+unicipalities
space = s+pace
stand = s+tand
colleagues = co+lleagues
terms = t+erms
elephants = e+lephants
ivory = i+vory
tusks = t+usks
retirements = re+tirements
presentation = p+resentation
1920s = 1+920s
adoption = a+doption
suffrage = s+uffrage
resentment = re+sentment
mates = ma+tes
opportunity = o+pportunity
file = f+ile
view = vi+ew
ticket = t+icket
weakness = w+eakness
performance = p+erformance
slate = s+late
touch = to+uch
discussion = dis+cussion
key = k+ey
acceptance = a+cceptance
choices = c+hoices
struggle = s+truggle
talks = ta+lks
assent = a+ssent
successor = s+uccessor
interviews = in+terviews
reporters = re+porters
wave = wa+ve
corruption = co+rruption
feeling = f+eeling
revulsion = re+vulsion
taxi = ta+xi
driver = d+river
visitor = vi+sitor
politicians = po+liticians
scientist = s+cientist
conspiracy = co+nspiracy
object = o+bject
locale = lo+cale
novel = no+vel
reasons = re+asons
spotlight = s+potlight
succession = s+uccession
scandals = s+candals
graft = gra+ft
works = w+orks
investigations = in+vestigations
reader = re+ader
newspapers = ne+wspapers
chicanery = c+hicanery
norm = no+rm
episode = e+pisode
$8,555 = $+8,555
beach = b+each
waterfront = wa+terfront
forecasts = f+orecasts
$6,100,000,000 = $+6,100,000,000
mortgages = m+ortgages
families = f+amilies
slums = s+lums
colleges = co+lleges
dormitories = do+rmitories
progress = p+rogress
loans = lo+ans
science = s+cience
languages = la+nguages
mathematics = ma+thematics
agencies = a+gencies
corps = co+rps
$40,000,000 = $+40,000,000
$26,000,000 = $2+6,000,000
universities = un+iversities
stage = s+tage
interview = in+terview
confusion = co+nfusion
goals = g+oals
churchmen = c+hurchmen
example = e+xample
month = m+onth
missionary = m+issionary
hotel = ho+tel
owner = o+wner
overseas = o+verseas
separation = s+eparation
mood = m+ood
banker = b+anker
$1,000,000,000 = $1+,000,000,000
estimates = e+stimates
beginning = b+eginning
technicians = t+echnicians
experts = e+xperts
role = ro+le
premium = p+remium
strength = s+trength
jobs = jo+bs
inhabitants = in+habitants
panel = pa+nel
affairs = a+ffairs
officer = o+fficer
economist = e+conomist
kingdom = k+ingdom
decision = de+cision
neutralists = ne+utralists
joint = jo+int
delegations = de+legations
agreement = a+greement
task = ta+sk
diplomats = di+plomats
round = ro+und
consultations = co+nsultations
tactics = ta+ctics
pace = pa+ce
agenda = a+genda
principles = p+rinciples
factors = f+actors
search = s+earch
promotion = p+romotion
manager = ma+nager
company = co+mpany
commercial = co+mmercial
artist = a+rtist
native = na+tive
seats = s+eats
inaugural = in+augural
parade = pa+rade
weather = w+eather
hundreds = hu+ndreds
thoroughfare = t+horoughfare
ceremonies = c+eremonies
street = s+treet
standpoint = s+tandpoint
viewpoint = vi+ewpoint
avenue = a+venue
buildings = b+uildings
shrines = s+hrines
monuments = m+onuments
course = co+urse
walk = wa+lk
block = b+lock
chapters = c+hapters
suffragettes = s+uffragettes
soldiers = s+oldiers
records = re+cords
car = ca+r
tracks = tra+cks
center = c+enter
spectators = s+pectators
vantage = va+ntage
square = s+quare
statues = s+tatues
hero = he+ro
branches = b+ranches
academies = a+cademies
representations = re+presentations
admission = a+dmission
union = un+ion
reserve = re+serve
trust = t+rust
territories = t+erritories
developments = de+velopments
scene = s+cene
script = s+cript
unpredictability = un+predictability
helm = he+lm
foes = f+oes
friends = f+riends
edges = e+dges
headache = he+adache
stream = s+tream
commitments = co+mmitments
quest = que+st
scramble = s+cramble
lawmakers = la+wmakers
honeymoon = ho+neymoon
decade = de+cade
odds = o+dds
companionship = co+mpanionship
$22.50 = $2+2.50
diem = di+em
seat = s+eat
eyes = e+yes
crossroads = c+rossroads
camps = ca+mps
loyalists = lo+yalists
independents = in+dependents
wreck = w+reck
loyalist = lo+yalist
ranks = ra+nks
functionary = f+unctionary
patronage = pa+tronage
solidarity = s+olidarity
picture = pi+cture
theme = t+heme
peace = p+eace
harmony = ha+rmony
stresses = s+tresses
segregation = s+egregation
finances = f+inances
transition = tra+nsition
revenues = re+venues
tardiness = ta+rdiness
dedication = de+dication
shortage = s+hortage
cash = ca+sh
defeat = de+feat
$28 = $2+8
effectiveness = e+ffectiveness
inconsistencies = in+consistencies
normalcy = no+rmalcy
hands = ha+nds
integration = in+tegration
towel = to+wel
sort = s+ort
politicos = po+liticos
notion = no+tion
conclusion = co+nclusion
purposes = p+urposes
consonance = co+nsonance
dilemma = di+lemma
constitution = co+nstitution
introduction = in+troduction
expenses = e+xpenses
stab = s+tab
raiser = ra+iser
prospect = p+rospect
approach = a+pproach
alternatives = a+lternatives
might = m+ight
trims = tri+ms
allegations = a+llegations
followers = f+ollowers
affiliations = a+ffiliations
bids = b+ids
inside = in+side
loss = lo+ss
$344,000 = $+344,000
$200,000 = $2+00,000
contractors = co+ntractors
shortcuts = s+hortcuts
disclosures = dis+closures
$172,400 = $1+72,400
contract = co+ntract
signature = s+ignature
architecture = a+rchitecture
engineering = e+ngineering
vouchers = vo+uchers
charges = c+harges
contractor = co+ntractor
disagreement = dis+agreement
recovery = re+covery
morning = m+orning
ptc = p+tc
reorganization = re+organization
bankruptcy = b+ankruptcy
directors = di+rectors
claim = c+laim
violations = vi+olations
expansion = e+xpansion
joints = jo+ints
overhauling = o+verhauling
repairs = re+pairs
$500 = $+500
$600 = $+600
$2400 = $2+400
$3100 = $+3100
$37,500 = $+37,500
headline = he+adline
$172,000 = $1+72,000
transit = tra+nsit
occupancy = o+ccupancy
rates = ra+tes
hotels = ho+tels
percent = p+ercent
objection = o+bjection
rooms = ro+oms
$5000 = $+5000
testimony = t+estimony
permits = p+ermits
$740,000 = $+740,000
$2,330,000 = $2+,330,000
houses = ho+uses
dwellings = d+wellings
renewal = re+newal
accomodations = a+ccomodations
apartment = a+partment
$457,000 = $+457,000
behalf = b+ehalf
association = a+ssociation
dog = do+g
dogs = do+gs
males = ma+les
females = f+emales
owners = o+wners
animal = a+nimal
$115,000 = $1+15,000
$43,000 = $+43,000
$67,000 = $+67,000
$15,000 = $1+5,000
catchers = ca+tchers
bites = b+ites
schedule = s+chedule
widow = wi+dow
manslaughter = ma+nslaughter
probation = p+robation
sentence = s+entence
victim = vi+ctim
accident = a+ccident
agreements = a+greements
redevelopers = re+developers
$300,000,000 = $+300,000,000
hazards = ha+zards
pedestrians = p+edestrians
acre = a+cre
tract = tra+ct
$12,192,865 = $1+2,192,865
row = ro+w
garden = ga+rden
apartments = a+partments
parks = pa+rks
churches = c+hurches
clusters = c+lusters
corporation = co+rporation
builder = b+uilder
builders = b+uilders
planner = p+lanner
sectors = s+ectors
walkways = wa+lkways
esplanade = e+splanade
length = le+ngth
pedestrian = p+edestrian
bridges = b+ridges
bomb = b+omb
figure = f+igure
representation = re+presentation
fighters = f+ighters
teamsters = t+eamsters
fractures = f+ractures
ankles = a+nkles
battalion = b+attalion
model = m+odel
driveway = d+riveway
ignition = i+gnition
flash = f+lash
sons = s+ons
boy = b+oy
blast = b+last
bed = b+ed
wall = wa+ll
hood = ho+od
roof = ro+of
front = f+ront
wheel = w+heel
laboratory = la+boratory
device = de+vice
tnt = t+nt
nitroglycerine = n+itroglycerine
starter = s+tarter
target = ta+rget
dissension = dis+sension
critic = c+ritic
firemen = f+iremen
reward = re+ward
bombing = b+ombing
guards = g+uards
emergency = e+mergency
bargaining = b+argaining
threat = t+hreat
army = a+rmy
junta = ju+nta
overthrow = o+verthrow
deadline = de+adline
protocol = p+rotocol
pledges = p+ledges
solution = s+olution
graduate = gra+duate
father = f+ather
structure = s+tructure
challenge = c+hallenge
paths = pa+ths
society = s+ociety
ritiuality = r+itiuality
loyalty = lo+yalty
detriment = de+triment
patience = pa+tience
century = c+entury
